degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
MCA,Electronics,6.1,97.5,85.4,"Terraform, Kubernetes, Docker, Linux, AWS, Jenkins, CI/CD",10,DevOps Engineer
B.Com,Accounting,8.61,80.7,81.6,"Auditing, Accounting, GST, Finance",9,Accountant
BA,Marketing,6.12,90.2,65.5,"Google Analytics, Copywriting, Content Strategy, SEO, Digital Marketing, Social Media",4,Marketing Specialist
MCA,Computer Science,8.61,93.6,94.3,"Node.js, Java, Docker, PostgreSQL",7,Backend Developer
PhD,Computer Science,7.72,92.3,66.4,"Scikit-Learn, Deep Learning, TensorFlow, Python, Pandas, Statistics",3,Data Scientist
BA,Business Administration,7.11,78.1,75.1,"Recruiting, Talent Acquisition, Onboarding, Communication, Employee Relations",4,HR Manager
BBA,Economics,6.34,81.5,70.9,"Social Media, SEO, Content Strategy, Google Analytics, Digital Marketing",9,Marketing Specialist
MBA,Business Administration,8.24,88.5,71.7,"Onboarding, Talent Acquisition, Recruiting, Communication, Employee Relations",2,HR Manager
MCA,Electronics,6.32,88.3,89.0,"Terraform, Docker, AWS, Linux, CI/CD, Jenkins, Kubernetes",10,DevOps Engineer
BBA,Finance,6.68,88.5,78.8,"Roadmapping, Agile, Scrum, Jira, Stakeholder Management, Product Strategy",4,Product Manager
BA,Communications,8.37,73.4,80.1,"SEO, Content Strategy, Social Media, Copywriting",7,Marketing Specialist
MBA,Business Administration,7.68,84.8,65.2,"Employee Relations, Talent Acquisition, Communication, Onboarding",5,HR Manager
MBA,Accounting,8.48,66.2,93.2,"Tally, Auditing, Accounting",10,Accountant
M.Com,Finance,9.78,70.3,74.4,"Accounting, Auditing, Advanced Excel",10,Accountant
MBA,Accounting,7.23,94.6,92.1,"Auditing, Finance, GST, Accounting, Advanced Excel, Tally",7,Accountant
MBA,Business Administration,8.0,82.3,88.0,"Employee Relations, Recruiting, Onboarding, Communication, Talent Acquisition",1,HR Manager
B.Tech,Information Technology,8.33,81.4,89.1,"Rust, Algorithms, System Design, Go, C#, Data Structures, Git, Java",7,Software Engineer
BBA,Communications,6.45,80.3,91.3,"Copywriting, Digital Marketing, Content Strategy, SEO",11,Marketing Specialist
Diploma,Information Technology,9.06,72.0,86.1,"Wireframing, Design Systems, User Testing",11,UX Designer
MCA,Computer Science,6.43,76.0,78.1,"Kubernetes, Linux, Terraform, Jenkins, AWS",10,DevOps Engineer
M.Tech,Data Science,6.52,70.1,80.2,"Scikit-Learn, Statistics, NumPy, Python, NLP",15,Data Scientist
Diploma,Information Technology,9.04,94.3,76.7,"HTML, Vue, Tailwind, Angular, JavaScript, Next.js, React, CSS",2,Frontend Developer
B.Tech,Information Technology,9.29,89.8,88.3,"Terraform, Linux, Docker, CI/CD, AWS, Kubernetes",5,DevOps Engineer
MCA,Artificial Intelligence,7.72,96.4,72.1,"Statistics, SQL, Scikit-Learn",3,Data Scientist
MCA,Computer Science,7.83,81.5,71.3,"C++, Git, Java, System Design",12,Software Engineer
BBA,Business Administration,7.75,88.6,82.2,"Recruiting, Employee Relations, Communication, Onboarding",0,HR Manager
B.Tech,Electronics,6.09,90.0,86.1,"Jenkins, AWS, Kubernetes, CI/CD, Terraform, Linux, Docker",3,DevOps Engineer
BCA,Computer Science,7.04,70.2,68.8,"Vue, Angular, TypeScript, React, HTML",9,Frontend Developer
BA,Human Resources,7.03,96.1,91.5,"Communication, Onboarding, Talent Acquisition, Employee Relations",9,HR Manager
BA,Design,6.49,80.5,87.3,"User Testing, Wireframing, Design Systems, Prototyping, Figma",1,UX Designer
B.Tech,Computer Science,9.11,88.5,87.1,"GraphQL, Java, Docker, REST APIs, Django, FastAPI",8,Backend Developer
M.Tech,AI,7.18,86.3,90.3,"C++, Git, Rust, Python",4,Software Engineer
BA,CS,7.72,66.0,80.7,"Wireframing, Prototyping, UI/UX, Design Systems, User Testing",5,UX Designer
B.Com,Marketing,7.54,88.6,68.5,"Digital Marketing, Social Media, Content Strategy, Copywriting, SEO",8,Marketing Specialist
BBA,Finance,9.7,77.7,76.2,"SQL, Process Improvement, Market Research, Data Visualization, Power BI, Tableau",11,Business Analyst
M.Com,Finance,6.43,84.7,75.7,"GST, Finance, Tally, Accounting, Auditing, Advanced Excel",1,Accountant
BBA,Economics,7.88,86.8,68.0,"SEO, Social Media, Copywriting, Digital Marketing, Content Strategy, Google Analytics",2,Marketing Specialist
MBA,Accounting,7.11,85.3,79.8,"Auditing, Tally, Advanced Excel, GST",11,Accountant
B.Sc,Design,9.22,93.1,67.1,"Vue, TypeScript, Angular, JavaScript, HTML, Next.js, Tailwind, CSS",8,Frontend Developer
B.Tech,Computer Science,7.5,75.5,77.6,"Scikit-Learn, Machine Learning, Pandas, Python, NumPy, SQL, TensorFlow",6,Data Scientist
MCA,Computer Science,9.19,70.1,97.9,"Java, SQL, PostgreSQL, GraphQL, Docker, FastAPI",3,Backend Developer
MBA,Business Administration,8.44,78.7,80.0,"Roadmapping, Agile, Market Research, Product Strategy, Stakeholder Management, Scrum, Jira",12,Product Manager
M.Com,Accounting,6.71,85.0,84.1,"Finance, Advanced Excel, Auditing, Tally, GST, Accounting",11,Accountant
B.Tech,Information Technology,6.43,80.9,87.8,"User Testing, Wireframing, Figma, Design Systems, Adobe XD, UI/UX, Prototyping",2,UX Designer
BBA,Business Administration,8.6,82.8,84.1,"Recruiting, Communication, Talent Acquisition, Employee Relations, Onboarding",9,HR Manager
MCA,Computer Science,9.44,83.9,75.9,"Statistics, NLP, TensorFlow",13,Data Scientist
MCA,Computer Science,8.76,83.6,67.0,"Terraform, Linux, Kubernetes",10,DevOps Engineer
B.Tech,Business Administration,6.48,67.5,90.9,"Scrum, Jira, Product Strategy, Roadmapping, Agile, Stakeholder Management, Market Research",4,Product Manager
B.Tech,Marketing,6.66,84.5,70.0,"Stakeholder Management, Scrum, Roadmapping, Product Strategy, Jira",7,Product Manager
BCA,Information Technology,8.26,92.1,92.6,"React, Tailwind, CSS, Vue, HTML, JavaScript, Angular, Next.js",12,Frontend Developer
BCA,Computer Science,6.2,80.3,80.7,"Docker, Java, SQL, REST APIs, Python, FastAPI, Django, GraphQL",7,Backend Developer
MBA,Business Administration,6.05,95.6,79.8,"Talent Acquisition, Communication, Employee Relations, Recruiting, Onboarding",6,HR Manager
BA,Human Resources,8.32,86.5,74.0,"Communication, Onboarding, Employee Relations",4,HR Manager
B.Tech,Information Technology,8.58,97.8,75.3,"Linux, CI/CD, Terraform, Docker, Kubernetes, AWS, Jenkins",0,DevOps Engineer
BBA,Business Administration,8.6,76.6,88.9,"SQL, Data Visualization, Market Research",4,Business Analyst
B.Sc,Design,6.33,85.0,77.4,"Figma, Design Systems, User Testing, UI/UX, Wireframing, Adobe XD, Prototyping",12,UX Designer
B.Tech,Business Administration,7.12,86.8,67.5,"Process Improvement, Tableau, Power BI",7,Business Analyst
MCA,Electronics,7.45,76.0,67.0,"Jenkins, Kubernetes, Terraform, Docker, AWS, CI/CD, Linux",3,DevOps Engineer
MBA,Economics,7.87,69.7,90.4,"Social Media, Google Analytics, Content Strategy, Digital Marketing",10,Marketing Specialist
BBA,Finance,8.95,65.6,81.4,"Power BI, Data Visualization, Market Research, SQL, Process Improvement, Tableau",10,Business Analyst
BBA,Business Administration,8.18,82.0,96.0,"SQL, Power BI, Tableau, Market Research, Process Improvement, Data Visualization",7,Business Analyst
B.Com,Economics,6.46,82.7,97.7,"SEO, Social Media, Content Strategy, Copywriting, Google Analytics, Digital Marketing",5,Marketing Specialist
MBA,Finance,8.03,96.7,67.7,"Process Improvement, Data Visualization, Power BI",13,Business Analyst
M.Tech,Computer Science,7.14,77.9,68.5,"Linux, AWS, CI/CD, Docker",6,DevOps Engineer
MBA,Communications,8.74,84.6,81.1,"Copywriting, Content Strategy, Social Media, SEO, Digital Marketing, Google Analytics",13,Marketing Specialist
BA,Business Administration,6.21,91.0,66.4,"Communication, Talent Acquisition, Recruiting, Onboarding, Employee Relations",1,HR Manager
Diploma,CS,7.86,65.6,94.9,"UI/UX, Adobe XD, User Testing, Design Systems, Figma, Wireframing, Prototyping",9,UX Designer
M.Tech,Computer Science,9.17,67.1,92.0,"Data Analysis, Python, NLP, NumPy, TensorFlow, Statistics, SQL, Machine Learning",8,Data Scientist
MBA,Accounting,9.08,97.4,87.4,"Tally, Advanced Excel, GST",2,Accountant
B.Tech,Information Technology,6.66,67.1,74.0,"Power BI, Tableau, Data Visualization, Process Improvement",12,Business Analyst
MCA,Information Technology,7.43,70.2,94.0,"Java, Docker, SQL, Python, Node.js, Django, MongoDB",1,Backend Developer
M.Tech,Data Science,6.54,73.9,79.9,"NLP, NumPy, Pandas, Deep Learning, Scikit-Learn, SQL, Machine Learning, TensorFlow",3,Data Scientist
MBA,Accounting,7.59,83.4,71.3,"Tally, Advanced Excel, Accounting, GST, Auditing, Finance",2,Accountant
M.Com,Accounting,9.03,87.6,97.0,"Auditing, Tally, GST, Accounting, Advanced Excel, Finance",7,Accountant
BBA,Marketing,6.96,85.4,94.4,"SEO, Copywriting, Digital Marketing, Content Strategy, Social Media, Google Analytics",7,Marketing Specialist
B.Tech,Computer Science,8.98,81.0,68.8,"TensorFlow, Data Analysis, NumPy",3,Data Scientist
BA,Economics,7.24,68.2,89.3,"Copywriting, Digital Marketing, Content Strategy, SEO",3,Marketing Specialist
MCA,Computer Science,9.53,80.0,77.8,"Django, Docker, Python, GraphQL, Node.js, FastAPI",8,Backend Developer
B.Tech,Information Technology,7.07,68.7,80.4,"Wireframing, UI/UX, Figma, User Testing",6,UX Designer
BBA,Business Administration,9.69,93.2,67.9,"Product Strategy, Agile, Stakeholder Management, Jira, Scrum",8,Product Manager
BBA,Communications,6.94,79.3,72.3,"Google Analytics, Digital Marketing, SEO, Social Media, Content Strategy, Copywriting",9,Marketing Specialist
B.Tech,Business Administration,7.82,91.3,92.1,"Roadmapping, Stakeholder Management, Market Research, Jira, Agile, Scrum",7,Product Manager
BBA,Marketing,6.91,98.0,65.5,"SEO, Google Analytics, Content Strategy, Copywriting, Social Media, Digital Marketing",10,Marketing Specialist
B.Tech,Electronics,8.93,93.8,78.4,"Jenkins, Linux, Terraform, AWS, Docker, Kubernetes",12,DevOps Engineer
Diploma,Design,8.86,88.0,85.2,"HTML, CSS, React, Angular, JavaScript, Next.js, Tailwind, Vue",9,Frontend Developer
B.Sc,CS,6.42,77.1,85.4,"Adobe XD, Figma, User Testing, Wireframing, Design Systems",5,UX Designer
BCA,Design,7.82,96.0,84.1,"CSS, React, Next.js, JavaScript, TypeScript, HTML, Angular",11,Frontend Developer
BA,Information Technology,6.24,76.4,81.0,"Wireframing, User Testing, Prototyping, Design Systems, Figma",8,UX Designer
M.Tech,AI,9.39,80.1,67.6,"Go, Algorithms, Git, Rust, C#, Java, C++",5,Software Engineer
B.Tech,Computer Science,7.98,85.7,74.7,"C++, C#, Git, Rust, System Design",10,Software Engineer
MBA,Business Administration,6.72,65.7,91.5,"Talent Acquisition, Communication, Onboarding, Recruiting, Employee Relations",11,HR Manager
Diploma,Design,9.2,79.7,75.0,"Angular, Tailwind, Vue, Next.js, TypeScript",2,Frontend Developer
B.Tech,Information Technology,6.56,74.4,96.6,"CI/CD, Kubernetes, Terraform, AWS",9,DevOps Engineer
B.Tech,Finance,6.44,97.8,84.0,"Agile, Stakeholder Management, Jira, Product Strategy, Roadmapping",7,Product Manager
MCA,Computer Science,9.72,69.9,79.8,"Linux, Terraform, AWS, Kubernetes",9,DevOps Engineer
B.Tech,Computer Science,9.69,83.0,81.7,"CI/CD, Docker, Jenkins, Kubernetes, AWS, Linux",10,DevOps Engineer
MCA,Information Technology,9.42,69.6,83.2,"Terraform, Docker, Linux, CI/CD, Jenkins, AWS, Kubernetes",1,DevOps Engineer
MCA,Information Technology,8.0,90.8,90.3,"Node.js, REST APIs, Python, SQL, MongoDB",1,Backend Developer
M.Tech,AI,7.37,69.9,93.2,"C++, Go, System Design, Rust, Python, C#, Java, Algorithms",7,Software Engineer
B.Tech,Information Technology,6.82,94.3,89.5,"Angular, Vue, React, Tailwind, HTML",6,Frontend Developer
BA,Marketing,6.79,80.7,93.6,"Google Analytics, Copywriting, Content Strategy, Digital Marketing, SEO, Social Media",5,Marketing Specialist
M.Tech,Computer Science,6.66,80.2,83.7,"System Design, Algorithms, Rust",4,Software Engineer
BBA,Marketing,6.1,65.1,73.7,"Market Research, Roadmapping, Scrum, Product Strategy, Agile, Stakeholder Management, Jira",10,Product Manager
MBA,Business Administration,6.11,90.2,81.3,"Process Improvement, Power BI, SQL, Data Visualization, Tableau, Market Research",10,Business Analyst
Diploma,Design,9.21,70.4,66.9,"Vue, Tailwind, Angular, HTML, JavaScript, TypeScript",5,Frontend Developer
BBA,Economics,8.42,96.5,66.6,"SEO, Digital Marketing, Social Media, Content Strategy",4,Marketing Specialist
BA,Human Resources,9.32,92.3,87.6,"Employee Relations, Communication, Recruiting, Onboarding, Talent Acquisition",4,HR Manager
M.Tech,Electronics,7.97,77.3,81.0,"Kubernetes, AWS, Linux, Jenkins, Terraform, CI/CD, Docker",15,DevOps Engineer
MBA,Business Administration,7.59,95.2,68.8,"Product Strategy, Agile, Jira, Roadmapping",15,Product Manager
M.Sc,Artificial Intelligence,8.7,65.9,91.9,"Scikit-Learn, Data Analysis, Statistics, NLP, Machine Learning",3,Data Scientist
B.Tech,Business Administration,8.63,90.9,67.6,"Agile, Scrum, Stakeholder Management, Product Strategy, Roadmapping, Jira, Market Research",12,Product Manager
B.Com,Marketing,6.45,73.3,67.2,"SEO, Copywriting, Social Media, Content Strategy",10,Marketing Specialist
B.Tech,Data Science,6.34,92.9,96.1,"SQL, NumPy, NLP, Data Analysis, Scikit-Learn, Statistics, Python",9,Data Scientist
B.Sc,Computer Science,6.73,74.3,94.8,"React, CSS, HTML, Vue, TypeScript, Tailwind, JavaScript",8,Frontend Developer
B.Tech,Data Science,9.17,97.4,79.0,"Statistics, Scikit-Learn, Data Analysis, NLP, NumPy, Python, Machine Learning",8,Data Scientist
Diploma,Design,8.9,88.3,83.4,"Figma, Prototyping, Design Systems, UI/UX, Adobe XD",0,UX Designer
MCA,Information Technology,8.28,75.3,97.2,"System Design, Algorithms, Git",4,Software Engineer
BBA,Business Administration,6.05,87.2,87.2,"Employee Relations, Recruiting, Communication, Onboarding, Talent Acquisition",6,HR Manager
MBA,Marketing,9.52,97.3,67.1,"Google Analytics, Copywriting, SEO, Digital Marketing",6,Marketing Specialist
Diploma,Design,8.91,90.3,84.6,"Design Systems, Prototyping, Adobe XD, Wireframing",12,UX Designer
MBA,Finance,8.92,68.6,73.3,"Process Improvement, Market Research, SQL, Tableau, Power BI, Data Visualization",4,Business Analyst
BBA,Business Administration,7.89,65.9,70.9,"Process Improvement, Data Visualization, Market Research",9,Business Analyst
MBA,Business Administration,9.01,71.7,86.8,"Market Research, Process Improvement, Data Visualization, SQL, Tableau",9,Business Analyst
M.Tech,Information Technology,7.2,77.4,80.2,"Linux, AWS, Terraform, CI/CD, Jenkins, Docker, Kubernetes",3,DevOps Engineer
BA,Business Administration,8.72,81.1,68.6,"Employee Relations, Talent Acquisition, Communication, Recruiting, Onboarding",10,HR Manager
B.Com,Economics,8.25,77.5,87.3,"Content Strategy, Social Media, SEO, Copywriting, Digital Marketing, Google Analytics",12,Marketing Specialist
MCA,Computer Science,9.18,76.5,89.5,"Linux, AWS, Docker",13,DevOps Engineer
MBA,Finance,7.57,66.9,73.1,"SQL, Power BI, Market Research",11,Business Analyst
M.Tech,Computer Science,6.14,86.7,78.9,"AWS, Kubernetes, Jenkins, Terraform, Linux, CI/CD, Docker",15,DevOps Engineer
M.Tech,Computer Science,8.18,91.7,68.3,"Docker, Django, Python, REST APIs, SQL, MongoDB, GraphQL, Java",4,Backend Developer
Diploma,Design,8.41,97.1,67.5,"Angular, JavaScript, Vue, Tailwind, Next.js, React, HTML, CSS",8,Frontend Developer
B.Tech,Information Technology,9.06,85.6,96.6,"Wireframing, User Testing, Prototyping",11,UX Designer
B.Com,Finance,7.32,67.5,92.2,"Accounting, Finance, Advanced Excel, Tally, Auditing",8,Accountant
MCA,Electronics,9.35,85.7,82.0,"Kubernetes, Docker, CI/CD, Linux, Terraform, Jenkins, AWS",10,DevOps Engineer
BBA,Communications,7.38,69.9,70.0,"Google Analytics, Digital Marketing, Copywriting, Social Media, SEO, Content Strategy",10,Marketing Specialist
MCA,Information Technology,9.13,86.3,73.5,"Jenkins, AWS, Docker, CI/CD, Linux",4,DevOps Engineer
MCA,Computer Science,7.76,83.5,79.4,"SQL, Python, FastAPI, MongoDB",15,Backend Developer
M.Tech,Data Science,8.09,86.3,66.4,"Data Analysis, Python, Pandas, TensorFlow, Scikit-Learn",8,Data Scientist
B.Tech,Data Science,8.55,94.2,78.1,"NumPy, Pandas, Machine Learning, Deep Learning, Data Analysis",11,Data Scientist
MBA,Business Administration,8.28,90.5,75.3,"Jira, Product Strategy, Roadmapping, Scrum, Agile, Stakeholder Management, Market Research",12,Product Manager
MCA,Information Technology,9.69,79.5,73.4,"Java, Node.js, FastAPI, SQL",1,Backend Developer
BA,Communications,7.8,73.1,74.2,"Digital Marketing, Social Media, Google Analytics",12,Marketing Specialist
BBA,Marketing,6.96,77.7,86.1,"Scrum, Stakeholder Management, Roadmapping, Product Strategy, Jira, Market Research, Agile",11,Product Manager
B.Tech,Design,9.52,95.3,74.9,"Tailwind, TypeScript, HTML, React",12,Frontend Developer
B.Tech,Design,9.0,74.0,67.6,"Prototyping, Adobe XD, Wireframing, Design Systems",12,UX Designer
B.Com,Communications,7.34,84.9,91.8,"Digital Marketing, Google Analytics, SEO, Social Media, Content Strategy, Copywriting",11,Marketing Specialist
Diploma,Design,7.68,86.2,65.1,"HTML, JavaScript, Angular",3,Frontend Developer
MBA,Finance,9.01,75.5,80.8,"Data Visualization, Process Improvement, Tableau, Market Research, Power BI, SQL",3,Business Analyst
B.Tech,Electronics,6.69,93.9,96.2,"Jenkins, Kubernetes, Terraform, Docker, AWS, CI/CD, Linux",9,DevOps Engineer
B.Sc,Design,8.66,70.6,78.2,"Adobe XD, User Testing, UI/UX, Figma, Design Systems, Prototyping, Wireframing",6,UX Designer
M.Com,Accounting,6.05,82.4,90.5,"GST, Tally, Accounting",7,Accountant
MBA,Business Administration,7.09,81.3,69.3,"Process Improvement, Tableau, Market Research, SQL",10,Business Analyst
B.Tech,CS,9.71,72.8,79.9,"UI/UX, Prototyping, Design Systems, Adobe XD, Figma, Wireframing, User Testing",3,UX Designer
Diploma,Computer Science,7.23,87.9,87.7,"Tailwind, JavaScript, TypeScript",11,Frontend Developer
BCA,Information Technology,6.2,95.7,80.5,"Node.js, PostgreSQL, Python",5,Backend Developer
MBA,Accounting,7.15,78.0,77.2,"GST, Finance, Advanced Excel",1,Accountant
B.Com,Finance,6.5,75.5,82.5,"Finance, Advanced Excel, GST, Tally",2,Accountant
B.Tech,Information Technology,8.84,95.6,74.3,"Docker, CI/CD, Kubernetes",4,DevOps Engineer
M.Com,Finance,6.72,66.8,71.0,"Tally, GST, Advanced Excel, Accounting, Auditing, Finance",7,Accountant
B.Tech,Electronics,9.76,83.5,80.1,"CI/CD, AWS, Jenkins, Terraform, Docker, Kubernetes",1,DevOps Engineer
MBA,Marketing,9.17,89.7,92.1,"Agile, Scrum, Stakeholder Management",15,Product Manager
B.Tech,Business Administration,8.92,87.3,94.3,"Data Visualization, Market Research, Tableau, SQL, Process Improvement, Power BI",0,Business Analyst
M.Tech,Electronics,9.53,68.5,75.7,"CI/CD, Kubernetes, Linux",2,DevOps Engineer
B.Com,Economics,7.23,89.1,89.2,"Digital Marketing, Social Media, SEO, Content Strategy, Google Analytics, Copywriting",12,Marketing Specialist
B.Com,Accounting,9.03,89.5,83.1,"Auditing, GST, Finance",9,Accountant
B.Tech,Information Technology,9.24,70.4,90.7,"Java, SQL, GraphQL, Node.js, Python",4,Backend Developer
B.Tech,Business Administration,8.8,95.4,94.8,"Power BI, SQL, Market Research",9,Business Analyst
BBA,Finance,6.76,79.7,77.8,"Stakeholder Management, Scrum, Product Strategy",4,Product Manager
MBA,Finance,7.65,79.1,66.3,"Advanced Excel, GST, Tally",8,Accountant
BBA,Information Technology,7.78,67.6,91.5,"Process Improvement, Tableau, SQL, Power BI, Data Visualization, Market Research",4,Business Analyst
MBA,Finance,8.16,83.2,95.3,"Stakeholder Management, Agile, Product Strategy, Market Research, Jira",2,Product Manager
BBA,Business Administration,6.97,67.7,81.6,"Talent Acquisition, Onboarding, Employee Relations",1,HR Manager
MBA,Business Administration,9.33,74.8,84.4,"SQL, Data Visualization, Market Research, Tableau",13,Business Analyst
MBA,Information Technology,8.84,84.9,93.8,"Power BI, Tableau, Market Research, Data Visualization, Process Improvement",7,Business Analyst
MBA,Human Resources,8.63,93.7,96.9,"Recruiting, Communication, Talent Acquisition, Employee Relations, Onboarding",12,HR Manager
BA,Communications,6.05,68.7,65.5,"Digital Marketing, Google Analytics, Copywriting, SEO, Social Media, Content Strategy",3,Marketing Specialist
M.Tech,Artificial Intelligence,7.8,65.7,70.5,"Data Analysis, SQL, Deep Learning, NumPy, Python, NLP, Statistics, Machine Learning",12,Data Scientist
B.Com,Economics,6.77,83.8,92.5,"Google Analytics, Social Media, Content Strategy",0,Marketing Specialist
B.Tech,Computer Science,7.52,81.9,88.9,"TypeScript, Next.js, Tailwind, React, Vue, JavaScript, HTML, CSS",10,Frontend Developer
BBA,Communications,8.19,83.3,73.8,"Social Media, SEO, Google Analytics",10,Marketing Specialist
BCA,Computer Science,7.09,71.3,76.3,"Django, REST APIs, Docker, GraphQL, Python, Node.js",3,Backend Developer
MBA,Business Administration,9.17,87.2,89.2,"Talent Acquisition, Employee Relations, Communication, Onboarding, Recruiting",8,HR Manager
B.Tech,Business Administration,6.66,70.2,81.2,"Jira, Stakeholder Management, Roadmapping, Market Research, Product Strategy",12,Product Manager
BCA,Information Technology,7.36,73.6,87.3,"SQL, PostgreSQL, Python, Django",2,Backend Developer
MBA,Human Resources,8.14,81.1,97.8,"Talent Acquisition, Recruiting, Onboarding, Communication, Employee Relations",6,HR Manager
PhD,Artificial Intelligence,9.52,79.4,80.1,"TensorFlow, NumPy, Machine Learning, Python",12,Data Scientist
B.Tech,AI,9.31,95.1,70.2,"C++, Go, Java, Algorithms, Git, Rust, Data Structures",4,Software Engineer
B.Com,Communications,9.11,69.1,71.7,"Content Strategy, Digital Marketing, Social Media",6,Marketing Specialist
M.Tech,Artificial Intelligence,7.42,89.9,76.9,"Pandas, TensorFlow, Data Analysis, Machine Learning, NumPy",4,Data Scientist
B.Tech,Marketing,9.41,96.4,82.0,"Agile, Market Research, Jira, Product Strategy",10,Product Manager
B.Tech,Information Technology,7.2,97.4,70.4,"HTML, CSS, Next.js, JavaScript",0,Frontend Developer
B.Tech,Computer Science,9.32,88.8,75.4,"Python, PostgreSQL, MongoDB, GraphQL, SQL, REST APIs, Django",5,Backend Developer
MCA,Computer Science,8.48,88.0,94.3,"Data Analysis, Deep Learning, Statistics, SQL, Pandas, NumPy, Scikit-Learn",11,Data Scientist
MCA,Information Technology,7.48,88.7,94.0,"Python, PostgreSQL, REST APIs",9,Backend Developer
B.Tech,Computer Science,6.11,91.3,84.6,"Linux, Kubernetes, Jenkins, Terraform, CI/CD, AWS, Docker",3,DevOps Engineer
M.Tech,Information Technology,6.18,86.5,69.1,"AWS, Terraform, Jenkins, Kubernetes, Docker, CI/CD, Linux",10,DevOps Engineer
M.Sc,Artificial Intelligence,7.33,74.4,90.9,"NumPy, NLP, TensorFlow, SQL",11,Data Scientist
MBA,Accounting,9.13,76.9,68.2,"Advanced Excel, Finance, Tally, Accounting, Auditing, GST",7,Accountant
B.Tech,Computer Science,6.82,67.6,87.3,"GraphQL, Java, Docker",6,Backend Developer
MBA,Finance,8.78,78.8,70.4,"Finance, Advanced Excel, Auditing, Tally, GST",3,Accountant
B.Com,Marketing,7.8,89.6,96.2,"Social Media, Copywriting, SEO, Digital Marketing, Google Analytics, Content Strategy",5,Marketing Specialist
M.Tech,Computer Science,7.99,68.9,75.1,"Data Structures, Algorithms, Java",5,Software Engineer
MCA,Computer Science,9.56,75.1,74.4,"Docker, Linux, CI/CD, AWS",14,DevOps Engineer
MBA,Marketing,8.15,94.7,90.8,"Digital Marketing, SEO, Social Media, Content Strategy, Copywriting, Google Analytics",14,Marketing Specialist
B.Com,Accounting,9.29,75.7,91.4,"Auditing, Advanced Excel, Finance, GST, Tally, Accounting",10,Accountant
M.Com,Finance,9.38,89.3,86.3,"Advanced Excel, GST, Accounting, Finance",2,Accountant
PhD,Computer Science,9.64,82.2,89.8,"Pandas, TensorFlow, Machine Learning, NumPy, Statistics, NLP, Scikit-Learn, Python",8,Data Scientist
B.Tech,Computer Science,7.69,91.6,85.0,"Data Analysis, Python, Pandas, SQL, Machine Learning, Scikit-Learn, TensorFlow",6,Data Scientist
B.Com,Finance,7.58,93.4,75.5,"GST, Advanced Excel, Tally",4,Accountant
B.Tech,Computer Science,7.17,78.4,70.6,"C#, Algorithms, Rust, C++, Git, Java, System Design",9,Software Engineer
BCA,Computer Science,6.98,96.1,94.7,"HTML, Vue, React, Next.js, JavaScript, CSS, TypeScript, Tailwind",0,Frontend Developer
BA,CS,7.21,83.3,67.2,"UI/UX, Prototyping, User Testing, Adobe XD, Figma, Design Systems, Wireframing",0,UX Designer
MCA,Computer Science,8.11,90.9,75.1,"PostgreSQL, Django, Node.js, SQL, GraphQL",8,Backend Developer
BCA,Computer Science,9.65,83.3,66.4,"Go, C#, Python, Algorithms, Git",7,Software Engineer
M.Com,Accounting,8.27,92.7,77.5,"Accounting, Advanced Excel, GST",5,Accountant
BBA,Information Technology,6.34,88.0,92.4,"Power BI, Data Visualization, Tableau, Process Improvement, Market Research, SQL",11,Business Analyst
BBA,Business Administration,8.41,97.3,88.4,"Communication, Onboarding, Talent Acquisition, Employee Relations",4,HR Manager
B.Tech,Information Technology,9.47,69.4,95.4,"Prototyping, User Testing, Wireframing, Figma",9,UX Designer
MBA,Marketing,8.05,94.5,91.9,"Content Strategy, Google Analytics, Social Media, Copywriting, SEO, Digital Marketing",11,Marketing Specialist
MCA,Information Technology,7.76,95.9,79.7,"Data Structures, System Design, C#, Go, Rust, Java, Algorithms",12,Software Engineer
MCA,Computer Science,9.72,96.9,66.2,"Scikit-Learn, SQL, Machine Learning, Pandas, Deep Learning, NLP, TensorFlow, Statistics",15,Data Scientist
B.Com,Accounting,8.16,81.3,83.2,"Auditing, Advanced Excel, Accounting, Tally",10,Accountant
MBA,Accounting,6.48,95.8,93.2,"Finance, Tally, Accounting",12,Accountant
B.Tech,Electronics,8.33,87.5,94.1,"Terraform, Jenkins, Linux",0,DevOps Engineer
B.Tech,Information Technology,7.97,66.4,88.8,"GraphQL, MongoDB, Node.js, Docker, SQL, Java",0,Backend Developer
MCA,Electronics,9.34,91.7,97.7,"Kubernetes, AWS, CI/CD, Docker, Linux, Terraform",12,DevOps Engineer
B.Tech,Computer Science,8.38,68.2,80.8,"Java, REST APIs, MongoDB, Node.js",12,Backend Developer
PhD,Computer Science,9.64,92.5,92.1,"Pandas, SQL, Machine Learning, Statistics, TensorFlow",8,Data Scientist
B.Sc,CS,7.43,94.4,87.9,"Prototyping, Figma, Design Systems, Adobe XD, User Testing, Wireframing, UI/UX",12,UX Designer
MBA,Marketing,6.25,87.4,83.5,"Scrum, Product Strategy, Market Research",14,Product Manager
BCA,Computer Science,9.34,85.4,76.2,"GraphQL, SQL, Python, Docker, Django, FastAPI, REST APIs",10,Backend Developer
M.Sc,Computer Science,8.26,67.2,91.1,"NumPy, SQL, Machine Learning, TensorFlow, Python",3,Data Scientist
