degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
B.Com,Maths,7.36,77.2,72.5,"Excel, Power BI, SQL, Python",12,Data Analyst
B.Tech,Civil Engineering,9.7,88.2,72.7,"STAAD Pro, Steel Design, AutoCAD, ETABS, Structural Analysis",1,Structural Engineer
M.Sc,Mathematics,6.75,84.2,97.4,"Excel, SPSS, Data Analysis, Report Writing, Research",15,Research Analyst
M.Tech,Artificial Intelligence,6.84,89.6,62.9,"Deep Learning, TensorFlow, Machine Learning, NLP, Statistics, Data Analysis, Scikit-Learn",2,Data Scientist
BA,Economics,9.6,74.4,62.6,"SAS, Statistics, Stata",3,Economist
M.Tech,Artificial Intelligence,7.81,76.7,86.5,"Scikit-Learn, Statistics, SQL, NumPy, Data Analysis",2,Data Scientist
MCA,Computer Science,8.35,94.5,74.0,"Kubernetes, Jenkins, Docker",11,DevOps Engineer
B.Tech,Marketing,7.62,92.2,95.7,"Market Research, Jira, Roadmapping, Product Strategy, Stakeholder Management, Scrum",3,Product Manager
MA,Economics,9.62,74.6,87.6,"Statistics, SAS, Economic Research, Data Analysis, Stata, Econometrics, R",9,Economist
B.Com,Maths,9.56,80.3,80.0,"SQL, Power BI, Statistics",6,Data Analyst
B.Tech,Design,7.18,82.4,67.2,"JavaScript, Angular, React, Vue, HTML",6,Frontend Developer
M.Com,Finance,8.07,71.4,86.6,"Advanced Excel, Tally, GST, Auditing, Finance, Accounting",5,Accountant
MCA,Information Technology,7.96,65.4,91.5,"System Design, Algorithms, Java, Data Structures",2,Software Engineer
BA,Communications,6.23,67.0,67.5,"Social Media, SEO, Google Analytics, Content Strategy, Digital Marketing, Copywriting",4,Marketing Specialist
M.Tech,Electronics,7.34,70.2,85.8,"Jenkins, Terraform, Docker, Kubernetes",1,DevOps Engineer
B.Tech,Civil Engineering,6.51,92.6,93.1,"Project Management, Estimation, STAAD Pro, Construction Materials",4,Civil Engineer
B.Tech,Finance,9.2,83.4,60.0,"Power BI, Excel, Market Research, Tableau, Process Improvement, Data Visualization, SQL",3,Business Analyst
M.Sc,Data Science,6.05,80.1,70.4,"TensorFlow, NLP, Deep Learning",1,Data Scientist
B.Tech,Construction Management,7.16,68.8,81.8,"Contract Management, MS Project, Primavera P6, Project Management, Cost Estimation",9,Construction Manager
M.Tech,AI,9.3,84.3,95.3,"C++, System Design, Algorithms, Python, Data Structures, Rust",11,Software Engineer
B.Com,Finance,8.31,67.2,74.9,"GST, Finance, Auditing, Accounting, Tally, Advanced Excel, Taxation",5,Accountant
B.Tech,Construction,6.75,80.4,76.9,"Site Management, AutoCAD, Health & Safety, Surveying, Quality Control",5,Site Engineer
BBA,Business Administration,6.97,66.1,63.8,"Talent Acquisition, Employee Relations, Communication, Onboarding, Recruiting",9,HR Manager
BBA,Finance,9.22,80.8,69.0,"Excel, Data Analysis, Bloomberg, Valuation, Financial Modeling, Accounting",0,Financial Analyst
BA,Human Resources,6.55,85.3,78.6,"Communication, Onboarding, Recruiting, Employee Relations, Talent Acquisition",3,HR Manager
BBA,Economics,8.92,73.4,76.3,"Content Strategy, Google Analytics, Copywriting, Social Media, Digital Marketing, SEO",4,Marketing Specialist
MCA,Electronics,6.05,84.9,77.5,"AWS, CI/CD, Jenkins",14,DevOps Engineer
B.Tech,Computer Science,6.41,69.1,73.0,"CI/CD, AWS, Linux, Kubernetes, Docker, Terraform",0,DevOps Engineer
Diploma,Civil,7.09,83.1,80.4,"Project Management, Construction Materials, Estimation, Surveying",6,Civil Engineer
BBA,Economics,7.63,60.4,70.4,"Copywriting, Digital Marketing, Google Analytics, SEO, Content Strategy, Social Media",3,Marketing Specialist
MBA,Computer Science,8.21,62.5,71.0,"Product Strategy, Scrum, Stakeholder Management",3,Product Manager
MA,Economics,8.0,81.7,91.4,"R, Economic Research, Stata, Statistics, SAS, Econometrics, Data Analysis",10,Economist
B.Tech,Civil,6.91,77.8,78.1,"Cost Estimation, MS Project, Primavera P6, Contract Management, Project Management",12,Construction Manager
BCA,Computer Science,8.77,82.7,72.8,"Algorithms, Rust, Git",10,Software Engineer
BA,Information Technology,9.58,76.0,75.9,"Design Systems, Adobe XD, Wireframing, UI/UX",11,UX Designer
MBA,Communications,8.56,88.6,83.0,"Social Media, SEO, Copywriting, Content Strategy, Google Analytics, Digital Marketing",11,Marketing Specialist
B.Tech,Data Science,7.67,77.8,84.0,"Statistics, NLP, NumPy, Scikit-Learn, Deep Learning, TensorFlow, Data Analysis, Machine Learning",12,Data Scientist
M.Tech,Information Technology,6.69,86.9,79.3,"Node.js, Docker, GraphQL, Django, MongoDB, REST APIs",9,Backend Developer
M.Com,Accounting,9.33,86.7,86.3,"Finance, Accounting, GST, Taxation, Advanced Excel, Tally, Auditing",15,Accountant
M.Tech,Civil Engineering,8.91,88.5,93.3,"Structural Analysis, STAAD Pro, AutoCAD, Steel Design, ETABS",8,Structural Engineer
B.Tech,Business Administration,8.18,97.0,83.2,"Roadmapping, Stakeholder Management, Scrum, Jira, Market Research, Product Strategy",7,Product Manager
M.Com,Finance,6.63,95.3,83.6,"Financial Modeling, Bloomberg, Valuation, Data Analysis, Accounting, Excel",13,Financial Analyst
BA,Business Administration,9.6,63.2,67.1,"Employee Relations, Recruiting, Onboarding, Communication, Talent Acquisition",10,HR Manager
BCA,Mathematics,9.72,84.1,71.2,"Excel, SQL, Power BI, Tableau, Statistics, Python, Data Visualization",3,Data Analyst
MBA,Finance,8.38,76.1,84.7,"Financial Modeling, Bloomberg, Accounting, Valuation",12,Financial Analyst
B.Sc,Statistics,6.88,72.0,70.4,"Power BI, Excel, Statistics, Python, Data Visualization, SQL, Tableau",4,Data Analyst
MA,Economics,6.24,95.1,70.7,"R, Economic Research, Econometrics, Statistics, SAS, Stata, Data Analysis",6,Economist
MBA,Information Technology,7.07,93.8,74.9,"Tableau, Excel, Market Research, Process Improvement, SQL",12,Business Analyst
B.Tech,Civil Engineering,6.69,76.9,71.6,"Project Management, STAAD Pro, Surveying, Estimation, AutoCAD, Construction Materials",5,Civil Engineer
M.Sc,Economics,7.7,90.8,87.7,"R, Stata, Economic Research, Statistics, Econometrics, Data Analysis, SAS",7,Economist
B.Com,Economics,7.17,96.8,68.6,"Valuation, Excel, Financial Modeling",8,Financial Analyst
B.Tech,Computer Science,9.18,63.6,76.8,"Data Visualization, Tableau, Statistics, SQL, Power BI, Python",9,Data Analyst
M.Tech,Civil Engineering,6.67,84.4,85.6,"AutoCAD, Steel Design, ETABS, STAAD Pro, Structural Analysis",4,Structural Engineer
BCA,Mathematics,8.59,89.3,92.7,"Excel, Statistics, Tableau, SQL, Python, Power BI, Data Visualization",4,Data Analyst
B.Com,Accounting,6.34,94.6,85.9,"Advanced Excel, Auditing, Accounting, GST, Finance, Taxation, Tally",8,Accountant
B.Tech,Civil Engineering,6.48,93.4,75.4,"MS Project, Contract Management, Project Management, Primavera P6, Cost Estimation",11,Construction Manager
Diploma,Civil,6.39,81.5,64.1,"Estimation, STAAD Pro, Project Management, Surveying, AutoCAD",6,Civil Engineer
B.Sc,Design,8.47,71.5,69.3,"Design Systems, Adobe XD, UI/UX, Prototyping, Wireframing, Figma",0,UX Designer
B.Com,Accounting,6.74,78.7,68.8,"Taxation, GST, Tally, Advanced Excel, Auditing, Finance, Accounting",4,Accountant
B.Com,Accounting,6.98,60.5,78.1,"Valuation, Bloomberg, Excel",7,Financial Analyst
M.Tech,Civil Engineering,6.97,62.6,70.7,"STAAD Pro, Steel Design, AutoCAD, Structural Analysis, ETABS",4,Structural Engineer
B.Com,Commerce,9.72,61.3,74.1,"Tally, Accounting, Advanced Excel, Auditing, GST, Taxation, Finance",12,Accountant
Diploma,Design,6.33,63.4,88.1,"Next.js, TypeScript, Tailwind, CSS, Angular, JavaScript, HTML, Vue",3,Frontend Developer
M.Sc,English,8.98,74.6,67.2,"Lesson Planning, Communication, Public Speaking, Mentoring, Curriculum Development",3,Teaching Professional
MBA,Human Resources,7.46,89.1,80.1,"Employee Relations, Recruiting, Onboarding, Talent Acquisition, Communication",1,HR Manager
B.Com,Finance,6.29,69.6,80.7,"Data Analysis, Excel, Valuation",7,Financial Analyst
BCA,Information Technology,7.55,88.2,63.8,"Angular, JavaScript, Next.js, TypeScript, HTML, Tailwind",12,Frontend Developer
B.Com,Information Technology,7.44,95.9,97.8,"Power BI, SQL, Data Visualization",5,Business Analyst
BA,Design,9.37,93.1,63.0,"Figma, Wireframing, Adobe XD, Design Systems, UI/UX, User Testing, Prototyping",4,UX Designer
PhD,Data Science,7.05,90.0,75.8,"SQL, NumPy, TensorFlow, Data Analysis, Deep Learning, Python",9,Data Scientist
M.Tech,Civil Engineering,7.11,61.4,83.9,"Construction Materials, AutoCAD, Estimation, STAAD Pro, Project Management, Surveying",10,Civil Engineer
BA,Information Technology,6.31,93.2,91.2,"Adobe XD, User Testing, Prototyping, UI/UX, Figma, Design Systems, Wireframing",4,UX Designer
BA,Design,6.51,97.4,73.9,"Prototyping, UI/UX, Figma",10,UX Designer
MBA,Business Administration,8.81,95.8,82.6,"Power BI, Tableau, Data Visualization, Market Research, Excel, SQL, Process Improvement",3,Business Analyst
B.Com,Computer Science,6.41,75.4,64.0,"SQL, Statistics, Excel, Power BI",9,Data Analyst
BBA,Finance,7.34,83.2,66.1,"Excel, Market Research, Data Visualization, SQL, Process Improvement, Power BI, Tableau",1,Business Analyst
M.Sc,Mathematics,8.87,82.2,97.7,"Market Research, SPSS, Research, Data Analysis, Excel",7,Research Analyst
PhD,Education,7.89,61.1,85.8,"Lesson Planning, Public Speaking, Curriculum Development, Communication, Mentoring",7,Teaching Professional
MBA,Commerce,8.85,91.0,87.2,"Accounting, GST, Auditing",7,Accountant
M.Tech,Civil Engineering,7.24,86.8,80.7,"Steel Design, STAAD Pro, Structural Analysis, ETABS, AutoCAD",6,Structural Engineer
MCA,Information Technology,9.37,94.3,84.2,"Terraform, Jenkins, AWS, Linux, CI/CD, Kubernetes",13,DevOps Engineer
MA,Education,7.12,78.7,89.8,"Public Speaking, Lesson Planning, Curriculum Development, Mentoring",0,Teaching Professional
M.Tech,Civil Engineering,6.53,95.4,92.7,"ETABS, Steel Design, Structural Analysis, STAAD Pro, AutoCAD",11,Structural Engineer
B.Sc,CS,8.75,77.3,93.7,"Adobe XD, Figma, Prototyping, UI/UX, Design Systems, Wireframing, User Testing",11,UX Designer
MCA,Information Technology,8.35,78.9,76.6,"FastAPI, PostgreSQL, SQL, Docker, Java, MongoDB, Python, Django",1,Backend Developer
B.Tech,Statistics,8.23,61.6,61.7,"Statistics, Data Visualization, Tableau, Power BI, Excel",2,Data Analyst
M.Com,Accounting,7.29,96.5,72.8,"Auditing, Tally, GST, Accounting, Taxation, Advanced Excel, Finance",13,Accountant
B.Tech,Marketing,7.94,97.4,93.9,"Market Research, Scrum, Jira, Agile, Roadmapping, Stakeholder Management, Product Strategy",4,Product Manager
BBA,Information Technology,9.55,97.1,76.4,"SQL, Process Improvement, Market Research, Excel, Tableau",2,Business Analyst
MBA,Business Administration,7.21,88.8,69.9,"Talent Acquisition, Recruiting, Employee Relations, Onboarding",11,HR Manager
MCA,Computer Science,7.57,92.0,87.3,"Jenkins, AWS, CI/CD, Linux, Kubernetes",14,DevOps Engineer
Diploma,Civil,8.52,65.0,62.0,"Project Management, STAAD Pro, Construction Materials",5,Civil Engineer
M.Tech,Structural Engineering,9.79,86.2,92.9,"ETABS, Structural Analysis, Steel Design, STAAD Pro, AutoCAD",6,Structural Engineer
MBA,Marketing,7.37,63.2,85.3,"Social Media, Copywriting, Content Strategy, SEO, Google Analytics, Digital Marketing",14,Marketing Specialist
BA,Economics,7.6,90.4,78.4,"SEO, Digital Marketing, Social Media, Content Strategy, Google Analytics",8,Marketing Specialist
BBA,Information Technology,7.6,83.4,74.2,"Process Improvement, Tableau, SQL, Data Visualization, Market Research",11,Business Analyst
MA,Economics,6.45,68.5,93.0,"Data Analysis, Stata, Economic Research, Statistics, SAS, Econometrics",1,Economist
BCA,Design,9.71,81.5,81.4,"HTML, React, JavaScript, Next.js",12,Frontend Developer
B.Tech,Mechanical,6.94,60.2,69.8,"Manufacturing, Thermodynamics, CAD/CAM, AutoCAD, Ansys",5,Mechanical Engineer
M.Tech,Information Technology,6.66,88.5,84.6,"Python, Django, FastAPI, Docker, MongoDB, REST APIs, SQL, GraphQL",13,Backend Developer
B.Com,Commerce,8.47,94.8,97.8,"Advanced Excel, Auditing, Tally, Accounting",9,Accountant
M.Tech,AI,9.32,65.4,61.6,"C#, Algorithms, Data Structures, Java, Go",10,Software Engineer
MCA,Information Technology,7.39,95.2,68.9,"Django, GraphQL, MongoDB, REST APIs, FastAPI, Java, SQL, Docker",6,Backend Developer
B.Sc,Physics,9.42,69.8,90.9,"Curriculum Development, Lesson Planning, Mentoring",9,Teaching Professional
BA,Human Resources,7.45,83.0,75.1,"Recruiting, Communication, Onboarding, Employee Relations, Talent Acquisition",6,HR Manager
Diploma,Design,7.57,97.0,81.9,"Prototyping, Design Systems, Adobe XD",0,UX Designer
B.Sc,Economics,9.43,95.2,83.5,"Excel, Market Research, Data Analysis, SPSS, Research, Report Writing",9,Research Analyst
B.Tech,Civil Engineering,6.06,74.4,70.9,"Cost Estimation, Project Management, MS Project, Contract Management, Primavera P6",0,Construction Manager
BA,Economics,9.2,70.2,87.6,"R, Econometrics, SAS, Economic Research, Stata, Statistics, Data Analysis",11,Economist
M.Sc,Economics,7.51,61.5,60.3,"Data Analysis, Research, SPSS, Excel, Report Writing, Market Research",11,Research Analyst
Diploma,Civil Engineering,6.48,95.6,95.7,"Health & Safety, Site Management, Quality Control, AutoCAD, Surveying",12,Site Engineer
B.Tech,Mechanical,6.92,72.7,63.6,"CAD/CAM, Ansys, SolidWorks, Thermodynamics, Manufacturing, AutoCAD",1,Mechanical Engineer
BCA,AI,8.13,83.6,78.0,"Git, Data Structures, Go, System Design, Java, C++, Python, Algorithms",10,Software Engineer
Diploma,Information Technology,8.63,97.1,80.2,"User Testing, Adobe XD, Design Systems, UI/UX, Prototyping, Wireframing, Figma",9,UX Designer
B.Tech,Mechanical Engineering,7.44,98.0,96.8,"Ansys, Manufacturing, SolidWorks, CAD/CAM, Thermodynamics, AutoCAD",9,Mechanical Engineer
BBA,Human Resources,9.2,79.5,69.5,"Employee Relations, Recruiting, Onboarding, Communication, Talent Acquisition",11,HR Manager
BA,Economics,9.58,65.5,94.6,"Market Research, Report Writing, SPSS, Excel, Data Analysis",8,Research Analyst
BA,Mathematics,9.61,85.7,69.9,"Data Analysis, Market Research, Excel, Research, Report Writing, SPSS",0,Research Analyst
B.Tech,Computer Science,8.47,67.3,62.8,"Node.js, PostgreSQL, Java, FastAPI, MongoDB, SQL, GraphQL",10,Backend Developer
B.Tech,Civil Engineering,9.29,81.8,67.8,"Project Management, AutoCAD, Estimation, Construction Materials, STAAD Pro, Surveying",2,Civil Engineer
MA,Economics,6.11,82.1,74.1,"SPSS, Market Research, Data Analysis, Excel, Report Writing",1,Research Analyst
B.Tech,Civil,9.5,78.3,82.4,"Primavera P6, Contract Management, Project Management",10,Construction Manager
MBA,Accounting,7.18,75.2,97.3,"Accounting, Data Analysis, Financial Modeling, Bloomberg, Excel, Valuation",10,Financial Analyst
MBA,Business Administration,9.69,77.4,71.9,"Talent Acquisition, Employee Relations, Recruiting",2,HR Manager
B.Tech,Computer Science,7.71,60.9,67.9,"C#, Algorithms, Java, Rust, Data Structures, Git, System Design",8,Software Engineer
B.Tech,Structural Engineering,8.1,91.2,84.6,"AutoCAD, STAAD Pro, Steel Design, Structural Analysis, ETABS",7,Structural Engineer
BCA,Information Technology,9.46,72.5,80.6,"Rust, C#, System Design, Go",3,Software Engineer
Diploma,Mechanical,7.68,65.8,88.9,"Thermodynamics, Manufacturing, AutoCAD, SolidWorks",10,Mechanical Engineer
MBA,Communications,9.61,75.5,73.8,"SEO, Google Analytics, Content Strategy, Copywriting, Social Media",5,Marketing Specialist
B.Com,Accounting,6.67,75.2,76.3,"Tally, Auditing, Advanced Excel, GST, Finance, Taxation",7,Accountant
PhD,Data Science,6.26,61.2,72.6,"Machine Learning, Python, SQL",4,Data Scientist
Diploma,Mechanical,8.22,74.5,67.4,"CAD/CAM, Ansys, Thermodynamics, AutoCAD, Manufacturing, SolidWorks",1,Mechanical Engineer
Diploma,Information Technology,7.18,81.4,85.8,"Vue, Next.js, Tailwind",5,Frontend Developer
B.Tech,Information Technology,8.43,80.4,65.8,"Algorithms, Go, System Design, Python, Data Structures, Git, Java",1,Software Engineer
B.Com,Economics,6.71,95.3,80.0,"Excel, Research, Data Analysis, Report Writing",12,Research Analyst
MCA,AI,7.71,83.4,71.6,"Python, Data Structures, Git",3,Software Engineer
BBA,Finance,7.49,88.6,86.3,"Tableau, Excel, SQL",5,Business Analyst
B.Tech,Marketing,7.99,91.6,86.6,"Stakeholder Management, Agile, Roadmapping, Scrum, Market Research, Product Strategy",7,Product Manager
Diploma,Mechanical,8.42,68.9,95.0,"CAD/CAM, Ansys, AutoCAD, Manufacturing, Thermodynamics",11,Mechanical Engineer
Diploma,Information Technology,8.0,86.4,84.1,"Design Systems, Adobe XD, Prototyping, Figma, Wireframing",1,UX Designer
B.Com,Economics,9.47,73.6,70.7,"Bloomberg, Accounting, Excel, Data Analysis, Valuation, Financial Modeling",11,Financial Analyst
M.Tech,Civil,8.43,68.6,93.2,"Construction Materials, STAAD Pro, Surveying, AutoCAD, Estimation, Project Management",3,Civil Engineer
BA,Economics,9.47,77.7,85.3,"Stata, Econometrics, Statistics, Economic Research, SAS, Data Analysis, R",5,Economist
Diploma,Design,6.9,93.4,78.7,"Prototyping, Figma, Wireframing, User Testing, Adobe XD, UI/UX",6,UX Designer
MBA,Business Administration,9.1,65.6,92.1,"Recruiting, Onboarding, Employee Relations, Communication, Talent Acquisition",7,HR Manager
M.Tech,Mechanical,8.4,88.6,75.8,"Manufacturing, CAD/CAM, SolidWorks, Thermodynamics",12,Mechanical Engineer
B.Tech,Electronics,7.24,84.7,90.1,"CI/CD, Terraform, AWS",8,DevOps Engineer
B.Sc,Computer Science,8.16,90.9,65.7,"React, CSS, HTML",2,Frontend Developer
Diploma,Mechanical Engineering,6.91,83.4,95.7,"Manufacturing, SolidWorks, CAD/CAM, Thermodynamics, AutoCAD, Ansys",9,Mechanical Engineer
M.Sc,English,9.54,90.8,83.8,"Mentoring, Curriculum Development, Communication, Public Speaking, Lesson Planning",2,Teaching Professional
M.Tech,Civil Engineering,9.5,91.0,97.0,"Project Management, STAAD Pro, AutoCAD, Estimation, Surveying",5,Civil Engineer
B.Tech,Mathematics,7.16,66.4,93.5,"Data Visualization, Tableau, Excel, Power BI, SQL, Statistics, Python",3,Data Analyst
B.Tech,Computer Science,8.48,94.7,79.6,"Roadmapping, Stakeholder Management, Jira, Market Research, Scrum",2,Product Manager
M.Tech,Computer Science,6.48,62.9,89.8,"Kubernetes, Terraform, Linux, AWS, Docker, Jenkins, CI/CD",3,DevOps Engineer
Diploma,Mechanical Engineering,6.03,83.5,92.1,"AutoCAD, SolidWorks, Manufacturing, CAD/CAM",8,Mechanical Engineer
B.Sc,Business,9.28,73.7,62.8,"Data Analysis, Research, Excel, Report Writing, Market Research, SPSS",0,Research Analyst
B.Tech,Civil,9.48,60.2,68.4,"AutoCAD, Quality Control, Health & Safety, Surveying, Site Management",9,Site Engineer
Diploma,CS,9.13,87.9,80.2,"Wireframing, User Testing, Prototyping, Design Systems, Figma, UI/UX, Adobe XD",10,UX Designer
M.Tech,Information Technology,6.7,77.8,77.5,"Python, Java, Node.js, REST APIs, GraphQL, Django, SQL, PostgreSQL",4,Backend Developer
B.Tech,Civil Engineering,6.08,65.2,69.9,"STAAD Pro, Steel Design, ETABS, AutoCAD",2,Structural Engineer
MA,Economics,8.84,74.8,66.1,"R, Data Analysis, SAS",11,Economist
BA,Information Technology,7.08,60.7,82.4,"Design Systems, Figma, Prototyping, Wireframing, User Testing, UI/UX, Adobe XD",12,UX Designer
B.Com,Business Administration,7.77,81.0,85.7,"Process Improvement, Excel, Market Research, Power BI, Data Visualization, SQL",4,Business Analyst
M.Tech,Information Technology,7.64,87.6,83.1,"Go, Data Structures, Rust, Python, Git",9,Software Engineer
Diploma,Civil Engineering,7.87,78.8,72.0,"AutoCAD, Quality Control, Site Management, Surveying",6,Site Engineer
MA,Maths,9.32,60.7,60.4,"Public Speaking, Curriculum Development, Communication, Mentoring",12,Teaching Professional
MBA,Commerce,6.96,73.9,81.1,"Taxation, Tally, Finance, Accounting, Auditing, Advanced Excel, GST",3,Accountant
BBA,Business Administration,9.06,78.0,95.4,"Onboarding, Recruiting, Communication",0,HR Manager
MBA,Computer Science,6.31,86.1,79.0,"Roadmapping, Product Strategy, Market Research, Jira",2,Product Manager
M.Sc,Statistics,7.6,63.2,67.3,"Market Research, Excel, Data Analysis, SPSS, Report Writing",12,Research Analyst
BA,Economics,7.75,65.7,91.7,"R, Statistics, SAS, Data Analysis",8,Economist
B.Tech,Design,8.95,86.3,92.8,"Design Systems, Figma, Adobe XD",11,UX Designer
BBA,Business Administration,6.99,79.3,72.9,"Onboarding, Communication, Talent Acquisition",4,HR Manager
BCA,Computer Science,7.14,93.0,69.5,"PostgreSQL, Docker, FastAPI, MongoDB, REST APIs",4,Backend Developer
MBA,Computer Science,8.5,81.3,60.7,"Agile, Scrum, Product Strategy, Jira, Market Research, Roadmapping, Stakeholder Management",14,Product Manager
B.Tech,Civil,7.86,78.5,82.9,"ETABS, Steel Design, STAAD Pro, AutoCAD, Structural Analysis",0,Structural Engineer
B.Com,Computer Science,6.74,79.1,62.4,"Data Visualization, Python, Excel, Tableau",6,Data Analyst
PhD,Physics,7.9,96.4,66.0,"Mentoring, Lesson Planning, Communication, Curriculum Development, Public Speaking",7,Teaching Professional
MCA,Computer Science,9.35,87.6,89.0,"Machine Learning, Deep Learning, Data Analysis",1,Data Scientist
B.Sc,Statistics,9.61,75.6,97.6,"Market Research, Report Writing, Research, Data Analysis, SPSS, Excel",2,Research Analyst
MBA,Civil,6.68,84.8,96.2,"Cost Estimation, Project Management, MS Project, Contract Management, Primavera P6",15,Construction Manager
B.Tech,Information Technology,9.2,85.2,95.8,"Terraform, Kubernetes, Jenkins, AWS, Linux, CI/CD",11,DevOps Engineer
MCA,Electronics,6.76,76.9,74.7,"Jenkins, Kubernetes, Linux",10,DevOps Engineer
BBA,Human Resources,7.8,71.2,95.7,"Onboarding, Talent Acquisition, Recruiting, Communication",7,HR Manager
MBA,Business Administration,8.96,95.8,63.6,"Roadmapping, Stakeholder Management, Market Research",1,Product Manager
M.Tech,Information Technology,7.36,60.7,72.3,"REST APIs, MongoDB, Python, Django, Node.js, Java",1,Backend Developer
M.Com,Finance,6.71,77.1,66.1,"Bloomberg, Financial Modeling, Excel, Data Analysis, Accounting",11,Financial Analyst
MA,Economics,7.57,90.8,82.1,"Research, Data Analysis, Market Research, Report Writing, Excel, SPSS",0,Research Analyst
B.Sc,Maths,7.06,91.4,72.9,"Power BI, Statistics, Tableau, Data Visualization, SQL, Python",3,Data Analyst
B.Com,Commerce,7.17,92.2,69.8,"Advanced Excel, GST, Taxation, Auditing, Accounting, Tally",10,Accountant
B.Tech,Information Technology,7.2,97.3,88.3,"Rust, Git, C++, System Design, Python, Data Structures",0,Software Engineer
B.Tech,Business Administration,6.34,65.0,95.4,"Agile, Stakeholder Management, Market Research, Jira",5,Product Manager
Diploma,Mechanical Engineering,9.11,87.6,73.7,"AutoCAD, Ansys, SolidWorks, CAD/CAM, Manufacturing",0,Mechanical Engineer
BA,Physics,8.88,92.3,80.7,"Curriculum Development, Communication, Public Speaking, Lesson Planning, Mentoring",11,Teaching Professional
MCA,Information Technology,7.5,74.3,91.7,"AWS, CI/CD, Kubernetes, Docker",4,DevOps Engineer
B.Tech,Civil,8.02,96.7,61.6,"AutoCAD, Estimation, Construction Materials, Project Management",11,Civil Engineer
M.Tech,Structural Engineering,7.65,74.9,71.4,"AutoCAD, ETABS, Steel Design, Structural Analysis, STAAD Pro",4,Structural Engineer
MA,Economics,6.98,72.3,62.3,"Statistics, SAS, Econometrics",12,Economist
M.Sc,Economics,7.57,68.4,71.3,"Economic Research, R, Data Analysis, Econometrics, SAS",8,Economist
BA,Economics,8.26,78.4,76.3,"Excel, Market Research, Research, Data Analysis",0,Research Analyst
B.Tech,Computer Science,9.38,86.4,64.8,"Roadmapping, Scrum, Market Research, Product Strategy",7,Product Manager
Diploma,Mechanical,8.5,84.4,60.1,"Manufacturing, Ansys, CAD/CAM, SolidWorks, Thermodynamics, AutoCAD",8,Mechanical Engineer
BCA,Design,9.1,72.3,83.8,"HTML, TypeScript, Vue, Next.js",9,Frontend Developer
M.Tech,Electronics,7.45,72.6,62.3,"Kubernetes, Docker, AWS, Jenkins, Linux",3,DevOps Engineer
B.Sc,Statistics,9.66,85.0,97.8,"Statistics, SQL, Python, Power BI, Excel, Data Visualization",7,Data Analyst
PhD,Artificial Intelligence,6.15,82.7,73.1,"TensorFlow, Scikit-Learn, Python, Machine Learning, Data Analysis, Statistics, Pandas, Deep Learning",6,Data Scientist
MBA,Finance,9.54,68.1,82.6,"GST, Auditing, Advanced Excel, Taxation, Tally",14,Accountant
M.Tech,Computer Science,9.45,86.6,81.3,"SQL, Django, MongoDB",9,Backend Developer
Diploma,Information Technology,8.66,87.0,71.3,"HTML, CSS, JavaScript, Angular, React, TypeScript",9,Frontend Developer
B.Tech,Civil,6.36,69.2,72.7,"Project Management, Estimation, Surveying, AutoCAD, Construction Materials",12,Civil Engineer
MBA,Construction Management,6.73,90.6,85.6,"Cost Estimation, Primavera P6, Contract Management, MS Project",10,Construction Manager
BA,Economics,7.77,88.1,61.8,"Research, Market Research, Excel, Report Writing, Data Analysis, SPSS",12,Research Analyst
B.Tech,Civil,6.88,72.9,83.9,"Project Management, Primavera P6, Cost Estimation, MS Project, Contract Management",10,Construction Manager
B.Tech,Design,7.96,85.1,60.1,"React, Angular, Next.js, Vue, TypeScript",10,Frontend Developer
M.Tech,Civil Engineering,6.42,80.9,62.2,"Estimation, Construction Materials, AutoCAD, Surveying, Project Management, STAAD Pro",7,Civil Engineer
B.Tech,Construction Management,8.85,73.9,90.8,"MS Project, Project Management, Primavera P6, Contract Management, Cost Estimation",3,Construction Manager
MCA,Data Science,7.74,88.2,89.1,"SQL, TensorFlow, Pandas, Data Analysis, Deep Learning",9,Data Scientist
B.Sc,Computer Science,7.46,82.1,76.0,"React, TypeScript, Next.js, Vue, Tailwind, Angular, JavaScript, HTML",9,Frontend Developer
B.Tech,Marketing,6.16,90.5,74.2,"Agile, Roadmapping, Jira",3,Product Manager
M.Com,Finance,8.18,66.8,70.8,"Taxation, Advanced Excel, Auditing, Finance, Tally, GST",2,Accountant
BCA,AI,9.45,78.3,68.6,"C#, Git, System Design, Algorithms, Data Structures, Go, Rust",1,Software Engineer
B.Tech,Data Science,9.79,75.1,78.8,"NumPy, SQL, TensorFlow, Python, Machine Learning, NLP, Deep Learning, Statistics",11,Data Scientist
B.Tech,Information Technology,6.21,76.6,68.2,"AWS, CI/CD, Linux, Terraform",9,DevOps Engineer
MBA,Business Administration,6.58,87.0,84.2,"Talent Acquisition, Employee Relations, Onboarding",6,HR Manager
M.Tech,Civil Engineering,9.42,85.8,94.5,"STAAD Pro, Structural Analysis, ETABS, AutoCAD, Steel Design",1,Structural Engineer
B.Com,Statistics,6.85,92.1,61.7,"Tableau, SQL, Power BI, Statistics",3,Data Analyst
MCA,Computer Science,7.67,69.7,82.4,"AWS, Docker, Terraform, Kubernetes",9,DevOps Engineer
MBA,Civil,7.13,77.1,80.2,"Primavera P6, Project Management, Cost Estimation",12,Construction Manager
